patch_id,papilla_id,x,y,size,perimeter,eccentricity,redness_score,a_channel,hue,saturation
78,3,249.04,185.24,25.0,17.86396103067893,0.847439926058727,0.4658652764321415,130.56,85.16,117.16
78,4,246.6875,189.3125,16.0,12.82842712474619,0.704724894141932,0.48022094867358706,128.875,76.1875,121.5625
79,1,279.1666666666667,161.94444444444446,18.0,14.242640687119286,0.899994626486704,0.43810946407127366,128.77777777777777,66.5,110.94444444444444
79,4,284.11764705882354,163.1764705882353,17.0,13.242640687119284,0.5335019720892371,0.37794183498760786,128.94117647058823,72.0,95.6470588235294
79,10,263.1363636363636,168.63636363636363,22.0,15.65685424949238,0.8134185576788951,0.4404653010126429,129.8181818181818,69.86363636363636,111.0909090909091
79,14,256.96296296296293,173.8148148148148,27.0,18.52081528017131,0.8326896835052997,0.4135163377597199,129.62962962962962,35.148148148148145,104.37037037037037
79,23,252.52173913043478,177.8695652173913,23.0,15.31370849898476,0.6648493387028183,0.3240502089860741,128.69565217391303,55.91304347826087,82.08695652173913
79,26,281.38709677419354,178.32258064516128,31.0,20.31370849898476,0.6042851878727447,0.5967773060949504,158.96774193548387,173.83870967741936,135.2258064516129
79,29,249.04,185.24,25.0,17.86396103067893,0.847439926058727,0.4658652764321415,130.56,85.16,117.16
79,30,246.6875,189.3125,16.0,12.82842712474619,0.704724894141932,0.48022094867358706,128.875,76.1875,121.5625
80,1,279.1666666666667,161.94444444444446,18.0,14.242640687119286,0.899994626486704,0.43810946407127366,128.77777777777777,66.5,110.94444444444444
80,4,284.11764705882354,163.1764705882353,17.0,13.242640687119284,0.5335019720892371,0.37794183498760786,128.94117647058823,72.0,95.6470588235294
80,6,292.62264150943395,166.26415094339623,53.0,33.31370849898476,0.9589610465850862,0.5349786736185619,130.58490566037736,85.62264150943396,134.52830188679246
80,10,263.1363636363636,168.63636363636363,22.0,15.65685424949238,0.8134185576788951,0.4404653010126429,129.8181818181818,69.86363636363636,111.0909090909091
80,11,309.14925373134326,168.19402985074626,67.0,46.86396103067892,0.9874040941053243,0.44145900667606547,130.40298507462686,68.88059701492537,111.08955223880596
80,15,257.6190476190476,173.61904761904762,21.0,16.86396103067893,0.8346560766954854,0.49860822760476736,130.0,43.285714285714285,125.66666666666667
80,23,307.3333333333333,176.58333333333334,24.0,18.31370849898476,0.696405407628864,0.6810572856593617,154.0,174.04166666666666,157.04166666666666
80,24,314.6216216216216,177.59459459459458,37.0,22.82842712474619,0.9126715418813878,0.6578396071185746,152.02702702702703,173.9189189189189,152.75675675675674
80,32,281.38709677419354,178.32258064516128,31.0,20.31370849898476,0.6042851878727447,0.5967773060949504,158.96774193548387,173.83870967741936,135.2258064516129
80,34,293.7560975609756,179.7560975609756,41.0,24.106601717798213,0.6811724791569668,0.6442395628277322,159.0731707317073,173.65853658536585,145.9268292682927
80,38,296.5333333333333,188.86666666666667,15.0,12.485281374238571,0.7613815723014773,0.5927320261437907,162.66666666666666,173.73333333333332,132.6
81,1,294.6,166.9142857142857,35.0,23.071067811865476,0.9091543398647203,0.5837073778531019,131.05714285714285,90.25714285714285,146.5142857142857
81,2,311.72093023255815,168.31395348837208,86.0,57.31370849898475,0.9917085533849654,0.4670662820743946,130.22093023255815,72.06976744186046,117.61627906976744
81,3,338.4021739130435,169.94565217391306,92.0,58.485281374238575,0.9903253863867861,0.5549162911022298,130.1195652173913,103.02173913043478,139.79347826086956
81,12,307.3333333333333,176.58333333333334,24.0,18.31370849898476,0.696405407628864,0.6810572856593617,154.0,174.04166666666666,157.04166666666666
81,13,314.8974358974359,177.5897435897436,39.0,24.242640687119287,0.9272302148060697,0.6579301290329593,151.94871794871796,173.87179487179486,152.82051282051282
81,17,293.7560975609756,179.7560975609756,41.0,24.106601717798213,0.6811724791569668,0.6442395628277322,159.0731707317073,173.65853658536585,145.9268292682927
81,27,348.8636363636364,183.5909090909091,22.0,15.65685424949238,0.6012852429943316,0.5493639127989552,155.8181818181818,173.54545454545453,125.86363636363636
81,32,321.0625,186.875,16.0,13.071067811865474,0.7317646097905899,0.5531073985966936,158.4375,172.75,125.5625
81,35,330.26666666666665,187.8,15.0,12.242640687119284,0.8295293371988992,0.5374155239437822,153.66666666666666,172.06666666666666,124.06666666666666
81,39,296.53333333333336,188.86666666666667,15.0,12.485281374238571,0.7613815723014773,0.5927320261437907,162.66666666666666,173.73333333333332,132.6
82,0,380.8125,165.0,16.0,12.82842712474619,0.8601380112365594,0.9340268166089964,129.625,0.0,117.875
82,2,357.1666666666667,165.94444444444446,18.0,14.242640687119286,0.899994626486704,0.4479817354199003,128.77777777777777,76.55555555555556,113.44444444444444
82,5,367.5,167.04347826086956,46.0,32.82842712474619,0.9833808868485274,0.5409373303419,129.56521739130434,84.8695652173913,136.56521739130434
82,7,322.05882352941177,168.88235294117646,17.0,14.035533905932738,0.8347160454337977,0.5810562612995533,129.64705882352942,93.11764705882354,146.64705882352942
82,8,339.234693877551,169.82653061224488,98.0,63.10660171779821,0.9899790938882487,0.5468443848127486,130.07142857142858,102.10204081632654,137.78571428571428
82,23,362.6,176.13333333333333,15.0,12.65685424949238,0.789639882824014,0.6695944978427101,150.86666666666667,175.6,156.13333333333333
82,42,348.90909090909093,183.5,22.0,15.899494936611667,0.6799091234918312,0.5495846162156324,155.72727272727272,173.5909090909091,125.95454545454545
82,44,357.25,182.83333333333334,24.0,17.071067811865476,0.2830692585361486,0.5785786716647445,156.20833333333334,174.16666666666666,132.375
